利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
19%,1,夏普,"夏普 个人复印机, 红色",￥414,2017/12/25,中国,西南,重庆,复印机,曹冬露,20%,5,重庆,技术,消费者,CN-2017-2372663,2017/12/21,标准级,"￥2,206"
2%,1,Acco,"Acco 孔加固材料, 回收",￥3,2017/12/25,中国,西南,重庆,装订机,曹冬露,0%,5,重庆,办公用品,消费者,CN-2017-2372663,2017/12/21,标准级,￥164
34%,1,Tenex,"Tenex 门挡, 一包多件",￥139,2017/12/25,中国,西南,重庆,用具,曹冬露,0%,2,重庆,家具,消费者,CN-2017-2372663,2017/12/21,标准级,￥410
-11%,1,夏普,"夏普 传真机, 每套两件",-￥621,2017/12/25,中国,西南,重庆,复印机,曹冬露,20%,5,重庆,技术,消费者,CN-2017-2372663,2017/12/21,标准级,"￥5,519"
5%,1,GlobeWeis,"GlobeWeis 外皮和封条, 回收",￥18,2017/12/25,中国,西南,重庆,信封,曹冬露,0%,4,重庆,办公用品,消费者,CN-2017-2372663,2017/12/21,标准级,￥377
24%,1,Boston,"Boston 荧光笔, 金属",￥68,2017/12/25,中国,西南,重庆,美术,曹冬露,0%,3,重庆,办公用品,消费者,CN-2017-2372663,2017/12/21,标准级,￥282
46%,1,Stockwell,"Stockwell 按钉, 整包",￥270,2017/12/25,中国,西南,重庆,系固件,曹冬露,0%,9,重庆,办公用品,消费者,CN-2017-2372663,2017/12/21,标准级,￥587
12%,1,Smead,"Smead 文件夹标签, 红色",￥5,2015/8/15,中国,华北,原平,标签,徐婵娟,0%,1,山西,办公用品,消费者,CN-2015-3766882,2015/8/13,二级,￥41
1%,1,Hon,"Hon 文件夹标签, 白色",￥1,2015/10/6,中国,东北,嫩江,标签,邵鹏,0%,5,黑龙江,办公用品,消费者,CN-2015-1887568,2015/10/2,标准级,￥202
6%,1,Avery,"Avery 装订机盖, 实惠",￥3,2015/10/6,中国,东北,嫩江,装订机,邵鹏,0%,1,黑龙江,办公用品,消费者,CN-2015-1887568,2015/10/2,标准级,￥52
-28%,1,Advantus,"Advantus 订书钉, 整包",-￥78,2017/5/20,中国,华北,锡林浩特,系固件,范彩,40%,9,内蒙古,办公用品,公司,US-2017-1363241,2017/5/16,二级,￥274
15%,1,爱普生,"爱普生 卡片打印机, 红色",￥281,2017/5/20,中国,华北,锡林浩特,设备,范彩,40%,4,内蒙古,技术,公司,US-2017-1363241,2017/5/16,二级,"￥1,872"
11%,1,Boston,"Boston 钢笔, 金属",￥58,2014/5/5,中国,东北,哈尔滨,美术,薛关茵,20%,9,黑龙江,办公用品,消费者,CN-2014-4114478,2014/4/29,标准级,￥520
45%,1,Deflect-O,"Deflect-O 门挡, 耐用",￥172,2017/11/9,中国,华东,安丘,用具,陶恒,0%,2,山东,家具,消费者,CN-2017-3566090,2017/11/2,标准级,￥382
-5%,1,贝尔金,"贝尔金 路由器, 回收",-￥72,2016/9/8,中国,东北,昌图,配件,吕欢悦,40%,2,辽宁,技术,消费者,CN-2016-2418676,2016/9/4,标准级,"￥1,437"
-37%,1,Tenex,"Tenex 分层置放架, 耐用",-￥46,2016/9/8,中国,东北,昌图,用具,吕欢悦,40%,2,辽宁,家具,消费者,CN-2016-2418676,2016/9/4,标准级,￥125
-39%,1,Kleencut,"Kleencut 尺子, 蓝色",-￥15,2016/9/8,中国,东北,昌图,用品,吕欢悦,40%,1,辽宁,办公用品,消费者,CN-2016-2418676,2016/9/4,标准级,￥38
16%,1,Eaton,"Eaton 备忘录便条, 回收",￥50,2016/9/21,中国,华东,姜堰,纸张,贾君,0%,5,江苏,办公用品,消费者,CN-2016-1734605,2016/9/19,二级,￥319
18%,1,Wilson Jones,"Wilson Jones 装订机盖, 回收",￥19,2014/8/28,中国,中南,惠州,装订机,沈虢,0%,2,广东,办公用品,消费者,CN-2014-2508741,2014/8/24,标准级,￥108
22%,1,Smead,"Smead 盒, 金属",￥10,2016/4/8,中国,华东,嘉兴,收纳具,巩珑,0%,1,浙江,办公用品,消费者,CN-2016-3269021,2016/4/2,标准级,￥46
-33%,1,Barricks,"Barricks 会议桌, 白色","-￥1,103",2016/4/8,中国,华东,嘉兴,桌子,巩珑,60%,2,浙江,家具,消费者,CN-2016-3269021,2016/4/2,标准级,"￥3,395"
44%,1,Fellowes,"Fellowes 盘, 工业",￥475,2017/2/12,中国,东北,开通,收纳具,冯松,0%,4,吉林,办公用品,公司,CN-2017-1344410,2017/2/7,标准级,"￥1,080"
25%,1,Barricks,"Barricks 木桌, 组装","￥2,298",2017/2/12,中国,东北,开通,桌子,冯松,25%,5,吉林,家具,公司,CN-2017-1344410,2017/2/7,标准级,"￥9,072"
35%,1,摩托罗拉,"摩托罗拉 耳机, 整包",￥652,2017/2/12,中国,东北,开通,电话,冯松,0%,5,吉林,技术,公司,CN-2017-1344410,2017/2/7,标准级,"￥1,863"
11%,1,Rubbermaid,"Rubvermaid 相框, 耐用",￥174,2014/10/28,中国,中南,汕头,用具,武廉,0%,7,广东,家具,消费者,CN-2014-3042636,2014/10/24,标准级,"￥1,593"
-5%,1,Safco,"Safco 书架, 金属",-￥21,2016/6/21,中国,华东,江都,书架,曹灵,40%,1,江苏,家具,公司,CN-2016-4020885,2016/6/18,一级,￥416
-260%,1,Boston,"Boston 速写本, 整包","-￥1,305",2016/6/21,中国,华东,江都,美术,曹灵,80%,11,江苏,办公用品,公司,CN-2016-4020885,2016/6/18,一级,￥502
-32%,1,Breville,"Breville 冰箱, 银色","-￥2,767",2016/6/21,中国,华东,江都,器具,曹灵,40%,6,江苏,办公用品,公司,CN-2016-4020885,2016/6/18,一级,"￥8,737"
7%,1,Acme,"Acme 剪刀, 锯齿状",￥50,2014/10/17,中国,中南,广州,用品,邱谦,0%,7,广东,办公用品,公司,CN-2014-3269021,2014/10/14,一级,￥723
20%,1,Novimex,"Novimex 扶手椅, 红色",￥769,2014/10/17,中国,中南,广州,椅子,邱谦,10%,2,广东,家具,公司,CN-2014-3269021,2014/10/14,一级,"￥3,847"
1%,1,三星,"三星 信号增强器, 蓝色",￥19,2017/11/22,中国,华北,汉沽,电话,常盛,0%,3,天津,技术,消费者,CN-2017-3865865,2017/11/18,标准级,"￥1,912"
7%,1,Breville,"Breville 微波炉, 白色",￥685,2015/9/9,中国,中南,深圳,器具,佘虢,0%,7,广东,办公用品,公司,CN-2015-5837615,2015/9/4,二级,"￥9,795"
14%,1,KitchenAid,"KitchenAid 咖啡研磨机, 银色",￥186,2017/8/31,中国,华北,天津,器具,薛磊,0%,4,天津,办公用品,消费者,CN-2017-2257547,2017/8/31,当日,"￥1,329"
22%,1,Avery,"Avery 订书机, 实惠",￥200,2017/8/31,中国,华北,天津,装订机,薛磊,0%,4,天津,办公用品,消费者,CN-2017-2257547,2017/8/31,当日,￥912
-3%,1,Hoover,"Hoover 微波炉, 白色",-￥86,2017/6/3,中国,东北,开原,器具,武明媚,40%,3,辽宁,办公用品,消费者,US-2017-3847012,2017/5/29,标准级,"￥2,577"
13%,1,Stiletto,"Stiletto 剪刀, 锯齿状",￥15,2017/6/3,中国,东北,开原,用品,武明媚,40%,2,辽宁,办公用品,消费者,US-2017-3847012,2017/5/29,标准级,￥114
-30%,1,Fiskars,"Fiskars 开信刀, 蓝色",-￥94,2017/6/3,中国,东北,开原,用品,武明媚,40%,4,辽宁,办公用品,消费者,US-2017-3847012,2017/5/29,标准级,￥313
-24%,1,Cardinal,"Cardinal 标签, 实惠",-￥10,2017/6/3,中国,东北,开原,装订机,武明媚,40%,2,辽宁,办公用品,消费者,US-2017-3847012,2017/5/29,标准级,￥41
11%,1,Avery,"Avery 合法证物标签, 红色",￥17,2017/6/3,中国,东北,开原,标签,武明媚,0%,3,辽宁,办公用品,消费者,US-2017-3847012,2017/5/29,标准级,￥156
49%,1,Smead,"Smead 圆形标签, 红色",￥31,2016/8/4,中国,东北,沈阳,标签,施良,0%,2,辽宁,办公用品,消费者,CN-2016-1951831,2016/8/2,二级,￥63
14%,1,Harbour Creations,"Harbour Creations 文件夹标签, 可调",￥13,2016/8/4,中国,东北,沈阳,标签,施良,0%,3,辽宁,办公用品,消费者,CN-2016-1951831,2016/8/2,二级,￥93
33%,1,Hewlett,"Hewlett 传真复印机, 数字化",￥593,2017/7/25,中国,东北,安达,复印机,徐婵,0%,2,黑龙江,技术,小型企业,CN-2017-4596452,2017/7/21,二级,"￥1,797"
5%,1,Kraft,"Kraft 马尼拉纸信封, 红色",￥21,2017/7/25,中国,东北,安达,信封,徐婵,0%,3,黑龙江,办公用品,小型企业,CN-2017-4596452,2017/7/21,二级,￥420
21%,1,爱普生,"爱普生 收据打印机, 红色",￥224,2017/7/25,中国,东北,安达,设备,徐婵,0%,2,黑龙江,技术,小型企业,CN-2017-4596452,2017/7/21,二级,"￥1,066"
28%,1,思科,"思科 耳机, 整包",￥463,2017/7/25,中国,东北,安达,电话,徐婵,0%,4,黑龙江,技术,小型企业,CN-2017-4596452,2017/7/21,二级,"￥1,653"
12%,1,Breville,"Breville 搅拌机, 银色",￥59,2015/11/27,中国,中南,漕河,器具,彭丽雪,40%,2,湖北,办公用品,小型企业,CN-2015-2859473,2015/11/27,当日,￥510
-5%,1,Novimex,"Novimex 扶手椅, 可调",-￥129,2015/11/27,中国,中南,漕河,椅子,彭丽雪,40%,2,湖北,家具,小型企业,CN-2015-2859473,2015/11/27,当日,"￥2,578"
2%,1,Rogers,"Rogers 搁板, 工业",￥29,2015/12/30,中国,华东,宿州,收纳具,巩关茵,0%,5,安徽,办公用品,公司,CN-2015-3069391,2015/12/26,标准级,"￥1,461"
15%,1,Enermax,"Enermax 计划信息表, 多色",￥100,2015/12/30,中国,华东,宿州,纸张,巩关茵,0%,6,安徽,办公用品,公司,CN-2015-3069391,2015/12/26,标准级,￥669
4%,1,Rogers,"Rogers 盒, 单宽度",￥9,2017/5/16,中国,中南,汕头,收纳具,陈霖,0%,2,广东,办公用品,消费者,CN-2017-2875530,2017/5/14,一级,￥224
20%,1,Advantus,"Advantus 灯泡, 一包多件",￥38,2015/7/9,中国,华北,忻州,用具,王庆缘,0%,2,山西,家具,消费者,CN-2015-5838362,2015/7/4,标准级,￥188
24%,1,Hamilton Beach,"Hamilton Beach 烤面包机, 黑色",￥64,2015/7/9,中国,华北,忻州,器具,王庆缘,0%,1,山西,办公用品,消费者,CN-2015-5838362,2015/7/4,标准级,￥266
43%,1,Stockwell,"Stockwell 图钉, 每包 12 个",￥151,2016/10/16,中国,华北,承德,系固件,刘立,0%,6,河北,办公用品,消费者,CN-2016-2067445,2016/10/12,标准级,￥352
2%,1,Binney & Smith,"Binney & Smith 画布, 混合尺寸",￥15,2016/10/16,中国,华北,承德,美术,刘立,0%,3,河北,办公用品,消费者,CN-2016-2067445,2016/10/12,标准级,￥764
16%,1,Deflect-O,"Deflect-O 闹钟, 优质",￥109,2016/10/16,中国,华北,承德,用具,刘立,0%,3,河北,家具,消费者,CN-2016-2067445,2016/10/12,标准级,￥685
15%,1,Memorex,"Memorex 鼠标, 可编程",￥62,2016/10/16,中国,华北,承德,配件,刘立,0%,3,河北,技术,消费者,CN-2016-2067445,2016/10/12,标准级,￥415
32%,1,Eldon,"Eldon 文件夹, 单宽度",￥51,2016/10/16,中国,华北,承德,收纳具,刘立,0%,2,河北,办公用品,消费者,CN-2016-2067445,2016/10/12,标准级,￥159
9%,1,Cameo,"Cameo 马尼拉纸信封, 红色",￥13,2016/10/16,中国,华北,承德,信封,刘立,0%,1,河北,办公用品,消费者,CN-2016-2067445,2016/10/12,标准级,￥143
47%,1,佳能,"佳能 墨水, 数字化",￥322,2016/10/16,中国,华北,承德,复印机,刘立,0%,1,河北,技术,消费者,CN-2016-2067445,2016/10/12,标准级,￥685
29%,1,Harbour Creations,"Harbour Creations 椅垫, 每套两件",￥502,2016/10/16,中国,华北,承德,椅子,刘立,0%,5,河北,家具,消费者,CN-2016-2067445,2016/10/12,标准级,"￥1,733"
44%,1,SanDisk,"SanDisk 备忘录便条, 每包 12 个",￥130,2016/10/16,中国,华北,承德,纸张,刘立,0%,3,河北,办公用品,消费者,CN-2016-2067445,2016/10/12,标准级,￥296
8%,1,Wilson Jones,"Wilson Jones 装订机, 透明",￥12,2017/11/3,中国,中南,埠河,装订机,黄婷,40%,4,湖北,办公用品,消费者,US-2017-5747151,2017/10/29,标准级,￥140
31%,1,苹果,"苹果 充电器, 整包","￥1,841",2016/1/9,中国,华北,保定,电话,许娜,0%,2,河北,技术,小型企业,CN-2016-3825454,2016/1/4,标准级,"￥5,939"
18%,1,佳能,"佳能 复印机, 数字化",￥440,2016/1/9,中国,华北,保定,复印机,许娜,0%,2,河北,技术,小型企业,CN-2016-3825454,2016/1/4,标准级,"￥2,443"
30%,1,Rogers,"Rogers 搁板, 单宽度",￥261,2015/11/16,中国,华东,徐州,收纳具,贺平,0%,3,江苏,办公用品,消费者,CN-2015-3415334,2015/11/10,标准级,￥870
15%,1,SanDisk,"SanDisk 闪存驱动器, 耐用",￥83,2016/11/26,中国,华东,义乌,配件,杨欢,40%,5,浙江,技术,公司,CN-2016-3361827,2016/11/20,标准级,￥557
-45%,1,OIC,"OIC 回形针, 金属",-￥73,2016/6/10,中国,东北,沈阳,系固件,邱谦,40%,4,辽宁,办公用品,公司,CN-2016-2477297,2016/6/4,标准级,￥163
42%,1,Avery,"Avery 文件夹标签, 红色",￥53,2016/6/10,中国,东北,沈阳,标签,邱谦,0%,3,辽宁,办公用品,公司,CN-2016-2477297,2016/6/4,标准级,￥125
14%,1,Office Star,"Office Star 沙滩椅, 每套两件",￥264,2017/8/14,中国,东北,阿城,椅子,马莲,0%,7,黑龙江,家具,公司,CN-2017-2686699,2017/8/10,标准级,"￥1,885"
45%,1,三星,"三星 充电器, 混合尺寸","￥2,684",2016/2/25,中国,华东,上海,电话,佘虢,0%,2,上海,技术,公司,CN-2016-2737126,2016/2/20,标准级,"￥5,964"
43%,1,Elite,"Elite 尺子, 钢",￥79,2014/10/6,中国,东北,兰西,用品,牛晒明,0%,3,黑龙江,办公用品,小型企业,US-2014-4676940,2014/9/29,标准级,￥185
37%,1,Accos,"Accos 回形针, 整包",￥170,2014/10/6,中国,东北,兰西,系固件,牛晒明,0%,7,黑龙江,办公用品,小型企业,US-2014-4676940,2014/9/29,标准级,￥459
33%,1,Avery,"Avery 运输标签, 白色",￥127,2015/9/27,中国,华东,新泰,标签,黄娜,0%,7,山东,办公用品,消费者,CN-2015-2274874,2015/9/21,标准级,￥387
27%,1,Acco,"Acco 订书机, 耐用",￥199,2015/8/19,中国,华东,烟台,装订机,蒋光,0%,3,山东,办公用品,小型企业,CN-2015-2281857,2015/8/19,当日,￥736
27%,1,Breville,"Breville 咖啡研磨机, 黑色",￥154,2015/8/19,中国,华东,烟台,器具,蒋光,0%,2,山东,办公用品,小型企业,CN-2015-2281857,2015/8/19,当日,￥572
35%,1,Harbour Creations,"Harbour Creations 摇椅, 黑色",￥472,2015/8/19,中国,华东,烟台,椅子,蒋光,0%,2,山东,家具,小型企业,CN-2015-2281857,2015/8/19,当日,"￥1,350"
21%,1,Smead,"Smead 运输标签, 耐用",￥24,2017/9/20,中国,中南,汕头,标签,白欢,0%,2,广东,办公用品,小型企业,CN-2017-5907567,2017/9/15,标准级,￥112
10%,1,Eldon,"Eldon 闹钟, 黑色",￥94,2017/1/2,中国,中南,武汉,用具,谢君,40%,6,湖北,家具,消费者,CN-2016-2607133,2016/12/29,标准级,￥950
27%,1,SanDisk,"SanDisk 信纸, 多色",￥188,2016/7/21,中国,中南,禹州,纸张,柳明,0%,3,河南,办公用品,小型企业,CN-2016-2960006,2016/7/15,标准级,￥698
-3%,1,Stanley,"Stanley 速写本, 混合尺寸",-￥27,2016/1/2,中国,中南,深圳,美术,白聪,20%,6,广东,办公用品,公司,US-2015-3279950,2015/12/31,一级,"￥1,066"
2%,1,KitchenAid,"KitchenAid 微波炉, 黑色",￥87,2016/1/2,中国,中南,深圳,器具,白聪,0%,3,广东,办公用品,公司,US-2015-3279950,2015/12/31,一级,"￥4,337"
17%,1,Hon,"Hon 圆形标签, 耐用",￥11,2014/12/2,中国,中南,丹江口,标签,陈嫒,0%,2,湖北,办公用品,消费者,CN-2014-5679752,2014/11/25,标准级,￥66
35%,1,惠普,"惠普 无线传真机, 每套两件","￥1,765",2016/7/25,中国,华东,平邑,复印机,马凤,0%,3,山东,技术,消费者,CN-2016-5717181,2016/7/23,二级,"￥5,043"
20%,1,Cardinal,"Cardinal 打孔机, 回收",￥54,2016/7/25,中国,华东,平邑,装订机,马凤,0%,2,山东,办公用品,消费者,CN-2016-5717181,2016/7/23,二级,￥272
46%,1,Eldon,"Eldon 框架, 优质",￥247,2017/6/21,中国,华东,上海,用具,巩光,0%,1,上海,家具,消费者,CN-2017-2063413,2017/6/17,二级,￥536
11%,1,宜家,"宜家 墙角架, 黑色",￥128,2017/6/21,中国,华东,上海,书架,巩光,0%,2,上海,家具,消费者,CN-2017-2063413,2017/6/17,二级,"￥1,161"
21%,1,Brother,"Brother 墨水, 红色",￥285,2017/6/21,中国,华东,上海,复印机,巩光,0%,2,上海,技术,消费者,CN-2017-2063413,2017/6/17,二级,"￥1,358"
12%,1,Boston,"Boston 荧光笔, 混合尺寸",￥25,2017/6/21,中国,华东,上海,美术,巩光,0%,2,上海,办公用品,消费者,CN-2017-2063413,2017/6/17,二级,￥206
35%,1,摩托罗拉,"摩托罗拉 耳机, 整包",￥391,2017/6/21,中国,华东,上海,电话,巩光,0%,3,上海,技术,消费者,CN-2017-2063413,2017/6/17,二级,"￥1,118"
46%,1,Eldon,"Eldon 文件夹, 金属",￥103,2017/6/21,中国,华东,上海,收纳具,巩光,0%,3,上海,办公用品,消费者,CN-2017-2063413,2017/6/17,二级,￥225
9%,1,Rubbermaid,"Rubvermaid 闹钟, 一包多件",￥147,2017/9/26,中国,西北,西安,用具,钱宁,0%,7,陕西,家具,公司,US-2017-1218432,2017/9/23,一级,"￥1,641"
-37%,1,Safco,"SAFCO 摇椅, 黑色","-￥1,089",2014/8/10,中国,中南,武汉,椅子,钟立,40%,8,湖北,家具,消费者,US-2014-5712655,2014/8/6,二级,"￥2,968"
5%,1,Acme,"Acme 开信刀, 锯齿状",￥15,2014/8/10,中国,中南,武汉,用品,钟立,40%,4,湖北,办公用品,消费者,US-2014-5712655,2014/8/6,二级,￥301
5%,1,惠普,"惠普 个人复印机, 每套两件",￥145,2014/8/15,中国,东北,绥化,复印机,白松,0%,5,黑龙江,技术,小型企业,US-2014-5376503,2014/8/11,标准级,"￥2,900"
17%,1,Rogers,"Rogers 搁板, 金属",￥291,2014/8/15,中国,东北,绥化,收纳具,白松,0%,6,黑龙江,办公用品,小型企业,US-2014-5376503,2014/8/11,标准级,"￥1,714"
12%,1,Safco,"Safco 搁架, 白色","￥1,116",2014/8/15,中国,东北,绥化,书架,白松,0%,10,黑龙江,家具,小型企业,US-2014-5376503,2014/8/11,标准级,"￥9,299"
25%,1,Kleencut,"Kleencut 修剪器, 钢",￥48,2014/8/15,中国,东北,绥化,用品,白松,0%,1,黑龙江,办公用品,小型企业,US-2014-5376503,2014/8/11,标准级,￥191
1%,1,Novimex,"Novimex 有色标签, 可调",￥1,2014/8/15,中国,东北,绥化,标签,白松,0%,3,黑龙江,办公用品,小型企业,US-2014-5376503,2014/8/11,标准级,￥144
41%,1,GlobeWeis,"GlobeWeis 局间信封, 每套 50 个",￥549,2017/6/15,中国,西南,景洪,信封,秦梦,0%,6,云南,办公用品,消费者,CN-2017-2558627,2017/6/10,标准级,"￥1,339"
42%,1,贝尔金,"贝尔金 路由器, 耐用","￥1,015",2014/6/1,中国,西北,西安,配件,施立伟,0%,2,陕西,技术,公司,CN-2014-2596183,2014/5/28,标准级,"￥2,417"
25%,1,Tenex,"Tenex 门挡, 优质",￥99,2014/6/1,中国,西北,西安,用具,施立伟,0%,2,陕西,家具,公司,CN-2014-2596183,2014/5/28,标准级,￥397
22%,1,Harbour Creations,"Harbour Creations 凳子, 黑色",￥547,2014/6/1,中国,西北,西安,椅子,施立伟,0%,3,陕西,家具,公司,CN-2014-2596183,2014/5/28,标准级,"￥2,488"
31%,1,Dania,"Dania 墙角架, 白色",￥541,2014/6/1,中国,西北,西安,书架,施立伟,0%,3,陕西,家具,公司,CN-2014-2596183,2014/5/28,标准级,"￥1,744"
37%,1,Novimex,"Novimex 圆形标签, 耐用",￥23,2014/6/1,中国,西北,西安,标签,施立伟,0%,2,陕西,办公用品,公司,CN-2014-2596183,2014/5/28,标准级,￥62
20%,1,Enermax,"Enermax 闪存驱动器, 耐用",￥39,2014/6/1,中国,西北,西安,配件,施立伟,0%,1,陕西,技术,公司,CN-2014-2596183,2014/5/28,标准级,￥195
21%,1,Tenex,"Tenex 分层置放架, 黑色",￥49,2014/6/1,中国,西北,西安,用具,施立伟,0%,2,陕西,家具,公司,CN-2014-2596183,2014/5/28,标准级,￥235
32%,1,Office Star,"Office Star 椅垫, 每套两件",￥203,2014/6/1,中国,西北,西安,椅子,施立伟,0%,2,陕西,家具,公司,CN-2014-2596183,2014/5/28,标准级,￥635
5%,1,施乐,"施乐 计划信息表, 每包 12 个",￥28,2014/7/4,中国,中南,老河口,纸张,白鹄,0%,5,湖北,办公用品,消费者,CN-2014-2575295,2014/6/30,标准级,￥572
13%,1,贝尔金,"贝尔金 闪存驱动器, 实惠",￥101,2015/5/20,中国,华东,上海,配件,刘婵,0%,4,上海,技术,消费者,CN-2015-4258082,2015/5/15,标准级,￥783
19%,1,Avery,"Avery 标签, 耐用",￥14,2017/9/16,中国,东北,吉林市,装订机,陶昌,0%,2,吉林,办公用品,消费者,US-2017-5252007,2017/9/14,一级,￥73
28%,1,Enermax,"Enermax 记忆卡, 实惠",￥598,2015/10/13,中国,中南,洛阳,配件,李丽丽,0%,4,广东,技术,消费者,CN-2015-1911148,2015/10/10,一级,"￥2,135"
11%,1,KitchenAid,"KitchenAid 咖啡研磨机, 红色",￥144,2017/11/14,中国,西北,西安,器具,陶莞颖,0%,4,陕西,办公用品,消费者,CN-2017-3737485,2017/11/11,二级,"￥1,315"
40%,1,Dania,"Dania 书架, 金属",￥452,2017/11/14,中国,西北,西安,书架,陶莞颖,0%,2,陕西,家具,消费者,CN-2017-3737485,2017/11/11,二级,"￥1,130"
26%,1,Cardinal,"Cardinal 标签, 实惠",￥17,2015/10/13,中国,中南,广州,装订机,毛保,0%,2,广东,办公用品,公司,CN-2015-3490090,2015/10/11,一级,￥68
22%,1,Hewlett,"Hewlett 无线传真机, 红色","￥1,553",2017/10/7,中国,东北,七台河,复印机,陶恒,0%,4,黑龙江,技术,消费者,CN-2017-1243146,2017/10/3,标准级,"￥7,063"
28%,1,Hoover,"Hoover 烤面包机, 白色",￥214,2015/5/25,中国,东北,长春,器具,涂丽,0%,2,吉林,办公用品,消费者,CN-2015-4046246,2015/5/24,一级,￥763
40%,1,Smead,"Smead 盘, 金属",￥266,2015/5/25,中国,东北,长春,收纳具,涂丽,0%,3,吉林,办公用品,消费者,CN-2015-4046246,2015/5/24,一级,￥666
14%,1,Office Star,"Office Star 折叠椅, 可调",￥492,2015/5/25,中国,东北,长春,椅子,涂丽,0%,8,吉林,家具,消费者,CN-2015-4046246,2015/5/24,一级,"￥3,517"
17%,1,Hon,"Hon 圆形标签, 耐用",￥11,2015/5/25,中国,东北,长春,标签,涂丽,0%,2,吉林,办公用品,消费者,CN-2015-4046246,2015/5/24,一级,￥66
19%,1,佳能,"佳能 无线传真机, 彩色","￥4,044",2015/5/25,中国,东北,长春,复印机,涂丽,0%,12,吉林,技术,消费者,CN-2015-4046246,2015/5/24,一级,"￥21,286"
42%,1,Harbour Creations,"Harbour Creations 折叠椅, 红色",￥767,2015/5/25,中国,东北,长春,椅子,涂丽,0%,4,吉林,家具,消费者,CN-2015-4046246,2015/5/24,一级,"￥1,827"
20%,1,SanDisk,"SanDisk 记忆卡, 实惠",￥524,2017/5/26,中国,东北,舒兰,配件,宋立,0%,5,吉林,技术,消费者,CN-2017-1067897,2017/5/22,标准级,"￥2,623"
-2%,1,Hon,"Hon 扶手椅, 可调",-￥129,2014/12/2,中国,中南,虎门,椅子,范彩,10%,3,广东,家具,公司,US-2014-2688173,2014/11/29,一级,"￥5,791"
9%,1,Eaton,"Eaton 计划信息表, 回收",￥43,2015/10/14,中国,华北,石家庄,纸张,常明媚,0%,5,河北,办公用品,消费者,US-2015-4764837,2015/10/12,一级,￥478
37%,1,Rogers,"Rogers 盒, 金属",￥80,2015/10/14,中国,华北,石家庄,收纳具,常明媚,0%,2,河北,办公用品,消费者,US-2015-4764837,2015/10/12,一级,￥215
34%,1,Cuisinart,"Cuisinart 咖啡研磨机, 白色",￥58,2015/10/14,中国,华北,石家庄,器具,常明媚,0%,1,河北,办公用品,消费者,US-2015-4764837,2015/10/12,一级,￥172
13%,1,Jiffy,"Jiffy 局间信封, 银色",￥118,2014/2/18,中国,华北,石家庄,信封,万虹,0%,4,河北,办公用品,消费者,CN-2014-2859473,2014/2/14,标准级,￥912
21%,1,Stiletto,"Stiletto 尺子, 工业",￥32,2017/2/16,中国,西南,遵义,用品,付松,0%,2,贵州,办公用品,公司,CN-2017-3766882,2017/2/13,一级,￥154
8%,1,Eldon,"Eldon 盘, 蓝色",￥53,2017/2/16,中国,西南,遵义,收纳具,付松,0%,3,贵州,办公用品,公司,CN-2017-3766882,2017/2/13,一级,￥672
19%,1,Sauder,"Sauder 柜, 黑色",￥894,2017/2/16,中国,西南,遵义,书架,付松,0%,6,贵州,家具,公司,CN-2017-3766882,2017/2/13,一级,"￥4,705"
36%,1,Cardinal,"Cardinal 打孔机, 耐用",￥51,2017/2/16,中国,西南,遵义,装订机,付松,0%,1,贵州,办公用品,公司,CN-2017-3766882,2017/2/13,一级,￥141
15%,1,Tenex,"Tenex 框架, 黑色",￥615,2017/2/16,中国,西南,遵义,用具,付松,0%,8,贵州,家具,公司,CN-2017-3766882,2017/2/13,一级,"￥4,106"
6%,1,Fellowes,"Fellowes 搁板, 金属",￥63,2017/8/26,中国,华东,上海,收纳具,顾升,0%,4,上海,办公用品,小型企业,CN-2017-2642546,2017/8/20,标准级,"￥1,062"
22%,1,Harbour Creations,"Harbour Creations 凳子, 黑色",￥547,2017/8/26,中国,华东,上海,椅子,顾升,0%,3,上海,家具,小型企业,CN-2017-2642546,2017/8/20,标准级,"￥2,488"
46%,1,StarTech,"StarTech 卡片打印机, 多色",￥702,2015/5/20,中国,东北,鹤岗,设备,熊光,0%,2,黑龙江,技术,小型企业,CN-2015-5896840,2015/5/15,标准级,"￥1,526"
47%,1,Tenex,"Tenex 盒, 单宽度",￥72,2015/5/20,中国,东北,鹤岗,收纳具,熊光,0%,2,黑龙江,办公用品,小型企业,CN-2015-5896840,2015/5/15,标准级,￥154
26%,1,Fiskars,"Fiskars 大剪刀, 工业",￥119,2015/5/20,中国,东北,鹤岗,用品,熊光,0%,2,黑龙江,办公用品,小型企业,CN-2015-5896840,2015/5/15,标准级,￥460
-50%,1,Stockwell,"Stockwell 按钉, 每包 12 个",-￥57,2016/10/25,中国,华东,温州,系固件,贺锦,40%,3,浙江,办公用品,消费者,CN-2016-1392177,2016/10/22,二级,￥113
14%,1,Ames,"Ames 搭扣信封, 回收",￥27,2016/10/25,中国,华东,温州,信封,贺锦,0%,7,浙江,办公用品,消费者,CN-2016-1392177,2016/10/22,二级,￥196
44%,1,Smead,"Smead 运输标签, 红色",￥47,2016/5/10,中国,中南,忻州,标签,宋良,0%,2,湖北,办公用品,公司,CN-2016-5792032,2016/5/6,二级,￥107
